Study,Year,DOI_or_ID,Source_URL,Source_Access,Source_File,Inclusion_Tier,Reliability_Tier,Mn_wt,C_wt,Al_wt,Si_wt,Cu_wt,Ni_wt,Cr_wt,Mo_wt,Nb_wt,V_wt,T_anneal_C,Time_sec,RA_fraction,RA_pct,Measurement_Method,Data_Quality,Initial_Condition,Source_Ref,Extraction_Note,ML_Ready,Row_Key
us20230295781_patent_trials,2023.0,US20230295781A1,https://patents.google.com/patent/US20230295781A1/en,open_patent_html,transfer_real_ra_stability.csv,transfer_real_patent_structured,transfer_or_secondary,,,,,,,,,,,4.0,5.0,1.0,100.0,patent_structured_microstructure_table,table_structured_patent,FRTnan-CTnan-HBAnanxnanh-CR1.0-T12.0/3.0s-T24.0/5.0s,US20230295781A1 Table 5 trial 0,Structured patent trial table extraction (US20230295781A1). RA_note=fraction_to_pct.,False,us20230295781_patent_trials|nan|nan|nan|nan|4.0|5.0|1.0|patent_structured_microstructure_table
us20230279528_patent_trials,2023.0,US20230279528A1,https://patents.google.com/patent/US20230279528A1/en,open_patent_html,transfer_real_ra_stability.csv,transfer_real_patent_structured,transfer_or_secondary,,,,,,,,,,,4.0,5.0,1.0,100.0,patent_structured_microstructure_table,table_structured_patent,FRTnan-CTnan-HBAnanxnanh-CR1.0-T12.0/3.0h-T24.0/5.0s,US20230279528A1 Table 5 trial 0,Structured patent trial table extraction (US20230279528A1). RA_note=fraction_to_pct.,False,us20230279528_patent_trials|nan|nan|nan|nan|4.0|5.0|1.0|patent_structured_microstructure_table
us20230279528_patent_trials,2023.0,US20230279528A1,https://patents.google.com/patent/US20230279528A1/en,open_patent_html,transfer_real_ra_stability.csv,transfer_real_patent_structured,transfer_or_secondary,9.53,0.09,1.69,0.0,,,,0.32,0.031,,,,0.3,30.0,patent_structured_microstructure_table,table_structured_patent,FRT900.0-CT450.0-HBA640.0x10.0h-CR50.0-T1560.0/6.0h-T2nan/nans,US20230279528A1 Table 5 trial 2,Structured patent trial table extraction (US20230279528A1).,False,us20230279528_patent_trials|9.53|0.09|1.69|0.0|nan|nan|0.3|patent_structured_microstructure_table
us20230279528_patent_trials,2023.0,US20230279528A1,https://patents.google.com/patent/US20230279528A1/en,open_patent_html,transfer_real_ra_stability.csv,transfer_real_patent_structured,transfer_or_secondary,9.53,0.09,1.69,0.0,,,,0.32,0.031,,,,0.25,25.0,patent_structured_microstructure_table,table_structured_patent,FRT900.0-CT450.0-HBA640.0x10.0h-CR50.0-T1540.0/6.0h-T2nan/nans,US20230279528A1 Table 5 trial 4,Structured patent trial table extraction (US20230279528A1).,False,us20230279528_patent_trials|9.53|0.09|1.69|0.0|nan|nan|0.25|patent_structured_microstructure_table
us20230272498_patent_trials,2023.0,US20230272498A1,https://patents.google.com/patent/US20230272498A1/en,open_patent_html,transfer_real_ra_stability.csv,transfer_real_patent_structured,transfer_or_secondary,,,,,,,,,,,4.0,5.0,1.0,100.0,patent_structured_microstructure_table,table_structured_patent,FRTnan-HBAnanxnanh-CR1.0-T12.0/3.0s-T24.0/5.0s,US20230272498A1 Table 5 trial 0,Structured patent trial table extraction (US20230272498A1). RA_note=fraction_to_pct.,False,us20230272498_patent_trials|nan|nan|nan|nan|4.0|5.0|1.0|patent_structured_microstructure_table
us20230175104_patent_trials,2023.0,US20230175104A1,https://patents.google.com/patent/US20230175104A1/en,open_patent_html,transfer_real_ra_stability.csv,transfer_real_patent_structured,transfer_or_secondary,,,,,,,,,,,1.0,2.0,1.0,100.0,patent_structured_microstructure_table,table_structured_patent,FRTnan-HBAnanxnanh-Tsoak1.0/2.0s,US20230175104A1 Table 5 trial 0,Structured patent trial table extraction (US20230175104A1). RA_note=fraction_to_pct.,False,us20230175104_patent_trials|nan|nan|nan|nan|1.0|2.0|1.0|patent_structured_microstructure_table
kozlowska_2021_mech_3mn,2021.0,10.1007/s43452-021-00284-6,https://link.springer.com/content/pdf/10.1007/s43452-021-00284-6.pdf,open_access_pdf,transfer_real_ra_stability.csv,transfer_real_mechanical_temp,transfer_or_secondary,3.1,0.17,1.6,0.22,,,,0.22,0.04,,,,0.121,12.1,XRD,table,hot-rolled -> 700C/15s -> 400C/300s isothermal hold; tensile at set deformation temperature,Kozlowska 2021 Table 2 3Mn row Initial state,RA after tensile at deformation temperature. ,False,kozlowska_2021_mech_3mn|3.1|0.17|1.6|0.22|nan|nan|0.121|xrd
kozlowska_2021_mech_5mn,2021.0,10.1007/s43452-021-00284-6,https://link.springer.com/content/pdf/10.1007/s43452-021-00284-6.pdf,open_access_pdf,transfer_real_ra_stability.csv,transfer_real_mechanical_temp,transfer_or_secondary,5.0,0.17,1.5,0.21,,,,0.2,0.03,,,,0.08,8.0,XRD,table,hot-rolled -> direct 400C/300s isothermal hold; tensile at set deformation temperature,Kozlowska 2021 Table 2 5Mn row Initial state,RA after tensile at deformation temperature. ,False,kozlowska_2021_mech_5mn|5.0|0.17|1.5|0.21|nan|nan|0.08|xrd
kozlowska_2021_mech_3mn,2021.0,10.1007/s43452-021-00284-6,https://link.springer.com/content/pdf/10.1007/s43452-021-00284-6.pdf,open_access_pdf,transfer_real_ra_stability.csv,transfer_real_mechanical_temp,transfer_or_secondary,3.1,0.17,1.6,0.22,,,,0.22,0.04,,20.0,,0.027000000000000003,2.7,XRD,table,hot-rolled -> 700C/15s -> 400C/300s isothermal hold; tensile at set deformation temperature,Kozlowska 2021 Table 2 3Mn row 20,RA after tensile at deformation temperature. ,False,kozlowska_2021_mech_3mn|3.1|0.17|1.6|0.22|20.0|nan|0.027|xrd
kozlowska_2021_mech_5mn,2021.0,10.1007/s43452-021-00284-6,https://link.springer.com/content/pdf/10.1007/s43452-021-00284-6.pdf,open_access_pdf,transfer_real_ra_stability.csv,transfer_real_mechanical_temp,transfer_or_secondary,5.0,0.17,1.5,0.21,,,,0.2,0.03,,20.0,,0.02,2.0,XRD,table,hot-rolled -> direct 400C/300s isothermal hold; tensile at set deformation temperature,Kozlowska 2021 Table 2 5Mn row 20,RA after tensile at deformation temperature. RA_note=lower_bound.,False,kozlowska_2021_mech_5mn|5.0|0.17|1.5|0.21|20.0|nan|0.02|xrd
kozlowska_2021_mech_3mn,2021.0,10.1007/s43452-021-00284-6,https://link.springer.com/content/pdf/10.1007/s43452-021-00284-6.pdf,open_access_pdf,transfer_real_ra_stability.csv,transfer_real_mechanical_temp,transfer_or_secondary,3.1,0.17,1.6,0.22,,,,0.22,0.04,,60.0,,0.059000000000000004,5.9,XRD,table,hot-rolled -> 700C/15s -> 400C/300s isothermal hold; tensile at set deformation temperature,Kozlowska 2021 Table 2 3Mn row 60,RA after tensile at deformation temperature. ,False,kozlowska_2021_mech_3mn|3.1|0.17|1.6|0.22|60.0|nan|0.059|xrd
kozlowska_2021_mech_5mn,2021.0,10.1007/s43452-021-00284-6,https://link.springer.com/content/pdf/10.1007/s43452-021-00284-6.pdf,open_access_pdf,transfer_real_ra_stability.csv,transfer_real_mechanical_temp,transfer_or_secondary,5.0,0.17,1.5,0.21,,,,0.2,0.03,,60.0,,0.02,2.0,XRD,table,hot-rolled -> direct 400C/300s isothermal hold; tensile at set deformation temperature,Kozlowska 2021 Table 2 5Mn row 60,RA after tensile at deformation temperature. RA_note=lower_bound.,False,kozlowska_2021_mech_5mn|5.0|0.17|1.5|0.21|60.0|nan|0.02|xrd
kozlowska_2021_mech_3mn,2021.0,10.1007/s43452-021-00284-6,https://link.springer.com/content/pdf/10.1007/s43452-021-00284-6.pdf,open_access_pdf,transfer_real_ra_stability.csv,transfer_real_mechanical_temp,transfer_or_secondary,3.1,0.17,1.6,0.22,,,,0.22,0.04,,100.0,,0.078,7.8,XRD,table,hot-rolled -> 700C/15s -> 400C/300s isothermal hold; tensile at set deformation temperature,Kozlowska 2021 Table 2 3Mn row 100,RA after tensile at deformation temperature. ,False,kozlowska_2021_mech_3mn|3.1|0.17|1.6|0.22|100.0|nan|0.078|xrd
kozlowska_2021_mech_5mn,2021.0,10.1007/s43452-021-00284-6,https://link.springer.com/content/pdf/10.1007/s43452-021-00284-6.pdf,open_access_pdf,transfer_real_ra_stability.csv,transfer_real_mechanical_temp,transfer_or_secondary,5.0,0.17,1.5,0.21,,,,0.2,0.03,,100.0,,0.026000000000000002,2.6,XRD,table,hot-rolled -> direct 400C/300s isothermal hold; tensile at set deformation temperature,Kozlowska 2021 Table 2 5Mn row 100,RA after tensile at deformation temperature. ,False,kozlowska_2021_mech_5mn|5.0|0.17|1.5|0.21|100.0|nan|0.026|xrd
kozlowska_2021_mech_3mn,2021.0,10.1007/s43452-021-00284-6,https://link.springer.com/content/pdf/10.1007/s43452-021-00284-6.pdf,open_access_pdf,transfer_real_ra_stability.csv,transfer_real_mechanical_temp,transfer_or_secondary,3.1,0.17,1.6,0.22,,,,0.22,0.04,,140.0,,0.09300000000000001,9.3,XRD,table,hot-rolled -> 700C/15s -> 400C/300s isothermal hold; tensile at set deformation temperature,Kozlowska 2021 Table 2 3Mn row 140,RA after tensile at deformation temperature. ,False,kozlowska_2021_mech_3mn|3.1|0.17|1.6|0.22|140.0|nan|0.093|xrd
kozlowska_2021_mech_5mn,2021.0,10.1007/s43452-021-00284-6,https://link.springer.com/content/pdf/10.1007/s43452-021-00284-6.pdf,open_access_pdf,transfer_real_ra_stability.csv,transfer_real_mechanical_temp,transfer_or_secondary,5.0,0.17,1.5,0.21,,,,0.2,0.03,,140.0,,0.028999999999999998,2.9,XRD,table,hot-rolled -> direct 400C/300s isothermal hold; tensile at set deformation temperature,Kozlowska 2021 Table 2 5Mn row 140,RA after tensile at deformation temperature. ,False,kozlowska_2021_mech_5mn|5.0|0.17|1.5|0.21|140.0|nan|0.029|xrd
kozlowska_2021_mech_3mn,2021.0,10.1007/s43452-021-00284-6,https://link.springer.com/content/pdf/10.1007/s43452-021-00284-6.pdf,open_access_pdf,transfer_real_ra_stability.csv,transfer_real_mechanical_temp,transfer_or_secondary,3.1,0.17,1.6,0.22,,,,0.22,0.04,,200.0,,0.105,10.5,XRD,table,hot-rolled -> 700C/15s -> 400C/300s isothermal hold; tensile at set deformation temperature,Kozlowska 2021 Table 2 3Mn row 200,RA after tensile at deformation temperature. ,False,kozlowska_2021_mech_3mn|3.1|0.17|1.6|0.22|200.0|nan|0.105|xrd
kozlowska_2021_mech_5mn,2021.0,10.1007/s43452-021-00284-6,https://link.springer.com/content/pdf/10.1007/s43452-021-00284-6.pdf,open_access_pdf,transfer_real_ra_stability.csv,transfer_real_mechanical_temp,transfer_or_secondary,5.0,0.17,1.5,0.21,,,,0.2,0.03,,200.0,,0.034,3.4,XRD,table,hot-rolled -> direct 400C/300s isothermal hold; tensile at set deformation temperature,Kozlowska 2021 Table 2 5Mn row 200,RA after tensile at deformation temperature. ,False,kozlowska_2021_mech_5mn|5.0|0.17|1.5|0.21|200.0|nan|0.034|xrd
glover_phd_2020,2020.0,CSM_Glover_PhD_2020,https://wpfiles.mines.edu/wp-content/uploads/aspprc/ResearchMaterials/Theses/Glover%2C%20Alexandra%20%28PhD-2020%29.pdf,phd_thesis_pdf,thesis_pdf_mined_real_ra.csv,thesis_core_exact,experimental_core_exact,7.17,0.139,0.046,0.21,,0.026,0.083,0.018,0.01,0.004,,,0.408,40.8,XRD,table_pdf_mined,batch-annealed as-received BA-AR; industrial primary soak not disclosed,Table B.1,Retained austenite ferrite and athermal martensite fractions following double soaking heat treatment.,False,glover_phd_2020|7.17|0.139|0.046|0.21|nan|nan|0.408|xrd
