sample_id,t_seconds,f_RA,f_clean,f_eq,delta_G,k_jmak,n_jmak,Mn,C,Al,Si,T_celsius,Ac1,Ac3,X_Mn_aus,provenance,fidelity,is_observed
8,0.0,0.0,0.0,0.42681815,6076.229739125001,1.5404894932970864e-18,2.0,4.7,0.16,1.6,0.2,800.0,631.1896511583594,729.24,5.935076844290816,experimental,experimental,0.0
8,3600.0,0.0,0.0,0.42681815,6076.229739125001,1.5404894932970864e-18,2.0,4.7,0.16,1.6,0.2,800.0,631.1896511583594,729.24,5.935076844290816,experimental,experimental,1.0
9,0.0,0.0,0.0,0.2835681500000001,7192.980739125001,5.2115191543918843e-17,2.0,4.7,0.16,1.6,0.2,1000.0,631.1896511583594,729.24,6.352259818001317,experimental,experimental,0.0
9,3600.0,0.0,0.0,0.2835681500000001,7192.980739125001,5.2115191543918843e-17,2.0,4.7,0.16,1.6,0.2,1000.0,631.1896511583594,729.24,6.352259818001317,experimental,experimental,1.0
100000,0.0,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,1.0,0.0177202049895052,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,1.1059963465337406,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,1.2232279185459818,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,1.3528856088899277,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,1.496286540710335,0.05552900278016,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,1.6548874473932391,0.0487937395024893,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,1.8302994707414704,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,2.0243045277027054,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,2.238873411910901,0.0170663610938332,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,2.4761858139249866,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,2.738652463539712,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,3.028939619100549,0.0359243930058595,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,3.3499961525965065,0.0096583958618959,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,3.705083505673823,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,4.097808820877672,0.0711214286977287,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,4.532161584684441,0.0163353028774631,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,5.012554154561559,0.0119220112277007,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,5.543866581747606,0.0172611968168129,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,6.131496185083348,0.06720749778786,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,6.781412379487752,0.0993102634222888,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,7.500217316052133,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,8.295212949762755,0.0105265652359356,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,9.17447521615698,0.0639044216438506,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,10.146936070433968,0.0186675336966635,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,11.222474222411396,0.058284829943146,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,12.412015489056085,0.0203407576094994,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,13.727643784016228,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,15.182723871638563,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,16.79203713246286,0.0297070914524078,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,18.57193171936283,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,20.540488629689374,0.0290457609024683,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,22.717705380454287,0.0,0.0,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,25.12569915241234,0.0394059077091525,5.836255016283588e-17,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,27.788931466673947,0.0,5.836255016283588e-17,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,30.73445667621788,0.0075802901506602,5.836255016283588e-17,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,33.9921967965965,0.0,5.836255016283588e-17,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,37.59524546769165,0.0,1.1672510032567175e-16,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,41.58020413430613,0.0,1.1672510032567175e-16,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,45.98755386066973,0.0,1.7508765048850762e-16,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,50.86206655592433,0.0370007101617069,1.7508765048850762e-16,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,56.25325978800826,0.0035861192894043,2.334502006513435e-16,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,62.2158998061505,0.0,2.918127508141794e-16,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,68.8105578819117,0.0169955699760885,4.085378511398511e-16,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,76.10422562034283,0.0501696784202017,4.66900401302687e-16,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,84.17099549187864,0.0,5.836255016283588e-16,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,93.09281349812572,0.0,7.587131521168664e-16,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,102.96031161747392,0.0,9.9216335276821e-16,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,113.87372848690158,0.0399345464518146,1.2256135534195534e-15,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,125.94392767268828,0.0,1.5757888543965689e-15,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,139.29352387410287,0.0,1.98432670553642e-15,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,154.05812850056813,0.0130186581708766,2.509589657001943e-15,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,170.38772727545387,0.0183712992146041,3.1515777087931373e-15,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,188.44820386083933,0.0512940944954362,3.96865341107284e-15,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,208.42302498093383,0.0086472204261026,5.077541864166721e-15,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,230.5151041624236,0.0,6.4198805179119455e-15,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,254.94886302448504,0.0,8.112394472634187e-15,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,281.9725110580115,0.0,1.0271808828659114e-14,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,311.86056705310546,0.0,1.2956486136149564e-14,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100000,344.9166477886751,0.0002361502672777,1.6399876595756883e-14,0.5256831183314791,5070.925175496167,3.668307646798719e-20,2.3367113036791567,7.640493152855051,0.1460399871345701,1.9757363861535948,0.2225508799001855,634.1047250474641,560.6141602820323,644.1047250474641,9.793768376954649,synthetic_calibrated,synthetic,1.0
100001,0.0,0.0,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,1.0,0.0097305521195711,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,1.1139749429400911,0.0,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,1.2409401734983792,0.0,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,1.3823762589649236,0.0097305521195711,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,1.5399325142021874,0.0,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,1.7154462346399726,0.0097305521195711,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,1.9109641213498576,0.0097305521195711,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,2.1287661480412687,0.0097305521195711,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,2.37139214829707,0.0,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,2.641671433087809,0.0097305521195711,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,2.94275578394046,0.0,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,3.2781562065016967,0.0,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,3.651783873086434,0.0,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,4.0679957316510045,0.0097305521195711,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,4.531645313046461,0.0,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,5.048139329025664,0.0097305521195711,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,5.6235007210049925,0.0097305521195711,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,6.264438894805097,0.0097305521195711,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,6.978427960392197,0.0,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
100001,7.773793888989433,0.0031864074450156,0.0,0.0097305521195711,5305.750630414168,7.664139200061283e-20,1.707342911821374,5.159336731769155,0.2027252178919913,2.6194450405034484,1.2123255832955513,667.912552182871,657.912552182871,783.8939593489524,5.159336731769155,synthetic_calibrated,synthetic,1.0
